#Wave     G         Gbp3      Grp3      Grvs
4960.0    0.640546  0.633755  0.000000  0.000000
4970.0    0.641348  0.633352  0.000000  0.000000
4980.0    0.642108  0.632940  0.000000  0.000000
4990.0    0.642351  0.632048  0.000000  0.000000
5000.0    0.642877  0.631463  0.000000  0.000000
5010.0    0.643809  0.631301  0.000000  0.000000
5020.0    0.645326  0.631736  0.000000  0.000000
5030.0    0.645906  0.631279  0.000000  0.000000
5040.0    0.646467  0.630828  0.000000  0.000000
5050.0    0.647428  0.630788  0.000000  0.000000
5060.0    0.648242  0.630627  0.000000  0.000000
5070.0    0.649438  0.630861  0.000000  0.000000
5080.0    0.650017  0.630520  0.000000  0.000000
5090.0    0.650237  0.629859  0.000000  0.000000
5100.0    0.651384  0.630124  0.000000  0.000000
5110.0    0.652558  0.630444  0.000000  0.000000
5120.0    0.653108  0.630189  0.000000  0.000000
5130.0    0.653193  0.629517  0.000000  0.000000
5140.0    0.654577  0.630128  0.000000  0.000000
5150.0    0.655353  0.630180  0.000000  0.000000
5160.0    0.655740  0.629885  0.000000  0.000000
5170.0    0.656366  0.629782  0.000000  0.000000
5180.0    0.656868  0.629492  0.000000  0.000000
5190.0    0.657857  0.629598  0.000000  0.000000
5200.0    0.659234  0.630008  0.000000  0.000000
5210.0    0.660148  0.629904  0.000000  0.000000
5220.0    0.660620  0.629313  0.000000  0.000000
5230.0    0.660955  0.628530  0.000000  0.000000
5240.0    0.661623  0.628006  0.000000  0.000000
5250.0    0.662540  0.627664  0.000000  0.000000
5260.0    0.663166  0.626994  0.000000  0.000000
5270.0    0.663796  0.626275  0.000000  0.000000
5280.0    0.664336  0.625418  0.000000  0.000000
5290.0    0.664735  0.624374  0.000000  0.000000
5300.0    0.665181  0.623348  0.000000  0.000000
5310.0    0.666268  0.622999  0.000000  0.000000
5320.0    0.667209  0.622592  0.000000  0.000000
5330.0    0.668146  0.622260  0.000000  0.000000
5340.0    0.669145  0.622062  0.000000  0.000000
5350.0    0.669371  0.621221  0.000000  0.000000
5360.0    0.669893  0.620734  0.000000  0.000000
5370.0    0.670337  0.620255  0.000000  0.000000
5380.0    0.670885  0.619949  0.000000  0.000000
5390.0    0.671760  0.620024  0.000000  0.000000
5400.0    0.672624  0.620169  0.000000  0.000000
5410.0    0.673234  0.620156  0.000000  0.000000
5420.0    0.673699  0.620095  0.000000  0.000000
5430.0    0.673763  0.619749  0.000000  0.000000
5440.0    0.673946  0.619594  0.000000  0.000000
5450.0    0.674601  0.619955  0.000000  0.000000
5460.0    0.675695  0.620800  0.000000  0.000000
5470.0    0.676761  0.621696  0.000000  0.000000
5480.0    0.676994  0.621903  0.000000  0.000000
5490.0    0.677375  0.622291  0.000000  0.000000
5500.0    0.677893  0.622689  0.000000  0.000000
5510.0    0.678117  0.622674  0.000000  0.000000
5520.0    0.678310  0.622489  0.000000  0.000000
5530.0    0.679798  0.623352  0.000000  0.000000
5540.0    0.680593  0.623439  0.000000  0.000000
5550.0    0.680912  0.622951  0.000000  0.000000
5560.0    0.681447  0.622525  0.000000  0.000000
5570.0    0.681945  0.621930  0.000000  0.000000
